# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
1.074447035789489746e+00 1.062135338783264160e+00 9.218623042106628418e-01 9.055112004280090332e-01 9.145402908325195312e-01 9.031895995140075684e-01 9.475224614143371582e-01 9.441088438034057617e-01
2.685461044311523438e-01 2.753036320209503174e-01 1.559336632490158081e-01 1.455288529396057129e-01 1.757951527833938599e-01 1.826768815517425537e-01 2.368636131286621094e-01 2.257839143276214600e-01
1.085891604423522949e+00 1.105418801307678223e+00 9.782488346099853516e-01 9.956161379814147949e-01 9.158812165260314941e-01 9.236333370208740234e-01 1.012763142585754395e+00 1.002764463424682617e+00
1.093478918075561523e+00 1.083342194557189941e+00 9.867406487464904785e-01 9.805794358253479004e-01 9.355827569961547852e-01 9.358142614364624023e-01 9.950890541076660156e-01 9.737390875816345215e-01
2.566218078136444092e-01 2.632934451103210449e-01 1.550429314374923706e-01 1.662859618663787842e-01 1.677476465702056885e-01 1.851133704185485840e-01 2.185648381710052490e-01 2.025399506092071533e-01
1.078265786170959473e+00 1.077088475227355957e+00 9.508447647094726562e-01 9.167767167091369629e-01 9.255060553550720215e-01 9.342876076698303223e-01 9.558514356613159180e-01 9.386556148529052734e-01
2.441822588443756104e-01 2.680464088916778564e-01 1.494232863187789917e-01 1.737122982740402222e-01 1.766466051340103149e-01 1.824164092540740967e-01 2.066940367221832275e-01 2.158792018890380859e-01
2.555337250232696533e-01 2.671016156673431396e-01 1.519141644239425659e-01 1.673640608787536621e-01 1.950239539146423340e-01 1.991381347179412842e-01 2.057869583368301392e-01 2.016285806894302368e-01
1.091737270355224609e+00 1.088911175727844238e+00 1.053984403610229492e+00 1.051784992218017578e+00 9.841431379318237305e-01 9.322144985198974609e-01 1.017383694648742676e+00 9.971991181373596191e-01
1.145071864128112793e+00 1.139962434768676758e+00 1.158987164497375488e+00 1.089220404624938965e+00 1.026395320892333984e+00 1.028108477592468262e+00 1.057027935981750488e+00 1.085246086120605469e+00
2.386373877525329590e-01 2.457374185323715210e-01 1.379441618919372559e-01 1.520096808671951294e-01 2.101091295480728149e-01 1.918277889490127563e-01 2.141433060169219971e-01 1.892189681529998779e-01
2.447661757469177246e-01 2.488053143024444580e-01 1.474490165710449219e-01 1.431435793638229370e-01 1.685280501842498779e-01 1.755483150482177734e-01 2.205586880445480347e-01 1.945799589157104492e-01
2.605689764022827148e-01 2.777684032917022705e-01 1.375892013311386108e-01 1.575502902269363403e-01 1.729751974344253540e-01 1.943622827529907227e-01 2.204491496086120605e-01 2.165525406599044800e-01
1.142664194107055664e+00 1.159466385841369629e+00 1.045905113220214844e+00 1.038183212280273438e+00 1.012204885482788086e+00 9.957137703895568848e-01 1.067444443702697754e+00 1.048038601875305176e+00
2.619578838348388672e-01 2.795757651329040527e-01 1.383774280548095703e-01 1.669290661811828613e-01 1.818290203809738159e-01 1.728356927633285522e-01 2.153566181659698486e-01 2.100958377122879028e-01
1.134211897850036621e+00 1.121168375015258789e+00 1.045811295509338379e+00 1.083709001541137695e+00 9.747702479362487793e-01 9.386930465698242188e-01 1.029309391975402832e+00 1.004286766052246094e+00
2.433778643608093262e-01 2.352848052978515625e-01 1.332919895648956299e-01 1.531347483396530151e-01 1.760421544313430786e-01 1.651228070259094238e-01 2.041854560375213623e-01 1.814928203821182251e-01
1.096864700317382812e+00 1.100051999092102051e+00 9.903376102447509766e-01 9.883210062980651855e-01 9.311150908470153809e-01 9.089861512184143066e-01 1.045266389846801758e+00 9.599444270133972168e-01
2.487925291061401367e-01 2.697531878948211670e-01 1.505082994699478149e-01 1.503766179084777832e-01 1.983652412891387939e-01 1.831521391868591309e-01 2.060096859931945801e-01 2.032185345888137817e-01
