# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
6.810373812913894653e-02 7.495139539241790771e-02 6.625088304281234741e-02 7.050577551126480103e-02 8.219534158706665039e-02 7.662892341613769531e-02 7.457312941551208496e-02 7.192277908325195312e-02
7.210957258939743042e-02 7.390771061182022095e-02 7.109719514846801758e-02 7.774452865123748779e-02 7.981553673744201660e-02 7.850533723831176758e-02 7.389295846223831177e-02 7.630031555891036987e-02
1.366616934537887573e-01 1.423429548740386963e-01 2.542330324649810791e-01 2.773111164569854736e-01 1.506377458572387695e-01 1.180775314569473267e-01 1.169444099068641663e-01 1.610937416553497314e-01
1.478275805711746216e-01 1.414195001125335693e-01 3.209321200847625732e-01 2.185562551021575928e-01 1.529946774244308472e-01 1.536248177289962769e-01 1.390135884284973145e-01 1.842975467443466187e-01
6.913129985332489014e-02 6.827778369188308716e-02 7.276985794305801392e-02 6.897135078907012939e-02 9.135898202657699585e-02 7.270625233650207520e-02 7.461521029472351074e-02 6.121053174138069153e-02
6.787182390689849854e-02 6.465171277523040771e-02 5.670648068189620972e-02 5.751090869307518005e-02 7.046420872211456299e-02 7.387581467628479004e-02 9.071215242147445679e-02 7.368499785661697388e-02
6.396114081144332886e-02 6.961891055107116699e-02 7.805749773979187012e-02 8.546917885541915894e-02 7.046600431203842163e-02 7.272037863731384277e-02 7.259040325880050659e-02 6.850066035985946655e-02
1.517168581485748291e-01 1.418998837471008301e-01 2.560242414474487305e-01 2.440909445285797119e-01 1.994261443614959717e-01 1.515872925519943237e-01 1.166993454098701477e-01 1.324927657842636108e-01
6.461564451456069946e-02 7.037305831909179688e-02 6.432853639125823975e-02 6.932625174522399902e-02 7.601194828748703003e-02 6.951270997524261475e-02 8.133854717016220093e-02 6.920839101076126099e-02
1.621002703905105591e-01 1.497378647327423096e-01 2.569724917411804199e-01 2.771965563297271729e-01 1.376441717147827148e-01 1.188959777355194092e-01 1.404132992029190063e-01 1.264421492815017700e-01
6.070813909173011780e-02 6.430476903915405273e-02 6.177550554275512695e-02 7.700815051794052124e-02 7.370624691247940063e-02 6.782202422618865967e-02 7.964111864566802979e-02 6.907351315021514893e-02
1.483116149902343750e-01 1.487470269203186035e-01 2.322063297033309937e-01 2.036942839622497559e-01 1.233753785490989685e-01 1.131654158234596252e-01 1.830329298973083496e-01 1.274261176586151123e-01
7.138551026582717896e-02 7.365014404058456421e-02 6.391576677560806274e-02 7.556914538145065308e-02 7.021319121122360229e-02 6.990060955286026001e-02 7.399299740791320801e-02 6.966895610094070435e-02
